Title,Price,Original Price,Price Excl. VAT,HP,Year,Working Hours,Dealer,Location,Image URL,Details,Detail URL,Description,Equipment: Transmission: Synchronous transmission,Equipment: bolt size hitch (mm): 32mm,Equipment: hitch: manually,Equipment: Reverse motion without pressure,Equipment: Air conditioner,Equipment: radio,Equipment: Top speed in km/h: 40 km/h,Equipment: Hydraulic brake valve,Equipment: emission stage: Tier3,Equipment: Front loader,Equipment: PowerShuttle,Equipment: Suspended tractor cabin (cab suspension),Equipment: Transmission: Continuously variable transmission,Equipment: Front PTO (power take-off),Equipment: Joystick: electric,Equipment: PTO shaft speed (rpm): 540E/1000,Equipment: Pneumatic (air) brake,Equipment: Platform: Cabin,Equipment: vehicle papers,Equipment: Drive: All-wheel drive,Equipment: PTO shaft speed (rpm): 540/540E/1000,Equipment: Three-point hitch (electronic hitch control),Equipment: Front loader console,Equipment: Top speed in km/h: 30 km/h,Equipment: external operation rear hydraulcs,Equipment: PTO shaft speed (rpm): 540/540E,Equipment: Supercharger: Turbocharger,Equipment: bolt size hitch (mm): 38mm,Equipment: Transmission: PowerShift transmission,Equipment: Creep speed,Equipment: top link rear: mechanically,Equipment: PTO shaft speed (rpm): 540/1000,Equipment: AdBlue,Equipment: Joystick: mechanically,Equipment: external operation PTO,Equipment: Air-suspended seat,Equipment: hitch: automatic,Equipment: 4-wheel brake,Equipment: Suspended front axle,Equipment: PTO shaft speed (rpm): 540,Equipment: ISOBUS,Equipment: emission stage: Tier5,Equipment: top link rear: hyraulic,Equipment: Exhaust brake,Equipment: Top speed in km/h: 50 km/h,Equipment: Front hydraulic equipment,Equipment: PTO shaft speed (rpm): 540/540E/1000/1000E,Equipment: Supercharger: Turbocharger with intercooler,Equipment: PTO shaft speed (rpm): 540/750,Equipment: ground drive p.t.o.,Spec: count of work lights rear,Spec: Working hours:,Spec: Front tire tread depth (%),Spec: Control units - DW (total),Spec: Front tire specifications,Spec: Rear tire tread depth (%),Spec: Maximum allowed weight (kg),Spec: Type:,Spec: Rear tire specifications,Spec: Control units – EW (total),Spec: count of previous owners,Spec: Payload/ carrying capacity (kg),Spec: Year of construction:,Spec: Condition state:,Spec: number of cylinders,Spec: serial number/chassis number,Spec: Control units – DW (electrical),Spec: Own weight (kg),Spec: hp:,Spec: count of work lights front
McCormick X7,,,, 190 hp/140 kW,2023,5,,,https://static.landwirt.com/4981-b375c886b4e9fbcbf3f11e9c07c9f528-3459845-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,3459845,McCormick-X7.html","McCORMICK X7.617 P6 DRIVE összkerékhajtású erőgép KC-BÉKÉS KFT

A KC-BÉKÉS KFT. új és használt mezőgazdasági gépek, alkatrészek és traktorok értékesítése országos szállítással, rövid határidőn belül, szerviz, hitel, lízing pályázati lehetőséggel áll az Önök rendelkezésére.

McCORMICK X7.617 P6 DRIVE összkerékhajtású erőgép  
(140 kW / 190 LE) BSO- - Motor  
FPT BETA POWER NEF 67 motor: 6728 cm³-es, 6 hengeres, 24 szelepes Hi-eSCR2 CommonRail (STAGE V) turbódízel motor töltőlevegő visszahűtővel, nincs EGR a motorban. Névleges teljesítmény: (97/68 CE ISO TR 14396) 111 kW (151 LE) 2200 fordulat/percnél (teljesítmény managementtel) (97/68 CE ISO TR 14396) 111 kW (151 LE). Maximális teljesítmény: (97/68 CE ISO TR 14396) 114 kW (155 LE) 1900 fordulat/percnél (teljesítmény managementtel) (97/68 CE ISO TR 14396) 122 kW (165 LE) fordulat/percnél, maximális nyomaték: 652/676 Nm (1400 fordulat/percnél), viscotronic hűtés, 280 literes üzemanyagtank, 38 literes AdBlue tartály, kipufogófék pedálos.  
Hajtómű  
P6 DRIVE váltó 30/15 ZF TPT 16 típusú, APS AutoPower Shift hajtómű, 6 Powershift, 5 robotizált csoport, maximális sebesség 50 km/h ECO (1970 fordulat/percnél), PowerShuttle (terhelés alatt elektrohidraulikusan kapcsolható irányváltó).  
TLT  
4 fokozatban elektrohidraulikusan kapcsolható TLT, 1000/1000E/540/540E 1995/1600/2005/1608 motor fordulatszám mellett, automata TLT, 6 és 21 bordás 1 3/8”-os tengelycsonkkal.  
Első híd / hátsó híd / fék  
IFS (független karokkal) felfüggesztésű rugózott első híd pozíció érzékelővel (kormányszög szenzor), bolygóműves véglehajtás, elektrohidraulikusan kapcsolható első és hátsó differenciálzár, elektrohidraulikusan kapcsolható összkerékhajtás kuplung, gondozásmentes olajfürdős tárcsafék (5 db HD féktárcsa) a hátsó hídban, hidraulikus működésű üzemi és kormányfék, kettő + egykörös légfékrendszer szárítótartállyal, ABS csatlakozó, fékezéskor az összkerékhajtás bekapcsol.  
Hidraulika rendszer  
CCLS axiáldugattyús hidraulikaszivattyú 175 liter/perc (123+52) teljesítménnyel, EHR szabályzás lengéscsillapítással, közös olajháztartás a hajtóművel, 4 pár elektromosan, kartámaszról vezérelt kihelyezett gyorscsatlakozó, elektronikus mennyiség- és idővezérléssel, szabad visszafolyó ág.  
Függesztőmű / alváz / súlyok  
Szabványos három pont függesztő berendezés KAT.3, bal oldali automata, jobb oldali teleszkópos emelőkar stabilizátorokkal, alsó bekötések gyorskapcsolóval, mechanikus 3. pont bekötés, 2 db Ø 100 mm-es külső emelő munkahenger, maximális emelőképesség 9300 kg, magasságban állítható automata vonófej Ø 38 mm-es csappal, piton vonófej, lengő alsó vonórúd, normál hátsó híd, 16 x 45 kg front súly, vonószemmel és csappal, 6 x 85 kg hátsó keréksúly, TLT és hárompont emelőmű külső működtetése a hátsó sárvédőkről.  
Kabin  
Négy oszlopos prémium kabin nyitható tetőablakkal, napfényrolóval, napellenzővel, zajszint 70 dB, multicontrolleres karfával (jobb oldalt) (Easy Pilot kapcsolóval, a váltó, a hátsó 3. pont, a TLT, a kihelyezett szelepek, a motor memória, a tempomat, a táblavégi forduló kapcsolásához), digitális műszerfal, mechanikus klímaberendezéssel, FOPS leeső tárgyak elleni védelemmel, mechanikus kabinrugózás, SUPER DELUXE kifordítható légrugós vezetőülés (deréktámasszal, fejtámlával) és utasülés biztonsági övvel, hűtődoboz az ülés mellett, rádió előkészítés, teleszkóposan állítható és dönthető kormányoszlop, hátsó ablaktörlő és mosóberendezés, állítható, nagy látószögű teleszkópos visszapillantó tükrök, 16 db halogén munkalámpa (10 db a kabin tetőben, 4 db a kabin oszlopokon, 2 db a motorháztetőben), sárga forgóvillogó jobb és bal oldalon, fém szerszámos láda, rendszámtáblatartó.  
Fedélzeti technológia / Precíziós gazdálkodás  
DSM (Data Screen Management) 12”-os érintőképernyős monitor, Flotta management előkészítés.  
Gumiabroncsozás  
Elöl: 420/85R28 „waffle” állítható felni, dinamikus sárvédők.  
Hátul: 520/85R38 „waffle” állítható felni, hátsó sárvédő szélesítés.  
Méretek  
Teljes hossz: 5344 mm, Szélesség: 2550 mm, Magasság: 2942 / 3078 mm, Tengelytáv: 2760 mm, Fordulási sugár: 5400 mm, Önsúly: 8060 kg, Maximális össztömeg: 11500 kg.  
Keressék gépértékesítő kollégánkat, hogy a legjobb árat adhassuk Önöknek.  
Kukla László: 303529994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190 hp / 140 kW,,,,,5 h,,,,X7,,,,,2023,,,,
McCormick X6.420,,,, 136 hp/100 kW,2022,,,,https://static.landwirt.com/4981-0754260acca7974b5d255bbbc96a9f58-3459842-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,3459842,McCormick-X6420.html","McCormick X6.415 P6 Drive Kc-Békés Kft

A Kc-Békés Kft. új és használt mezőgazdasági gépek,alkatrészek és traktorok értékesítése országos szállítással rövid határidőn belül, szerviz , hitel,lízing pályázati lehetősséggel áll az Önök rendelkezésére .

McCormick X6 Tier4 trakort ajánjuk figyelmükbe.

Motor típusa T4 final DEUTZ-AG
Fordulatszám 2200
ABDULE tartály mérete 20
Üzemanyag tartály mérete 150l
Kormányzási szög 55fok
Hidraulika puma L/MIN 66
Hátsó függesztő előkarok 2
Max. emelő terhelhetőség 6000kg
Önsúly 4600
Érdeklődni: Roszik Dávid Tel: 06/30/6508398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X6.420,,,,,2022,,,,,,136 hp / 100 kW,,,,,,,
McCormick X8.631,,,, 313 hp/231 kW,2023,,Argo GmbH,4490 Oberweidelham,https://static.landwirt.com/8263-0305173e7e78e0abc899967819f52b1b-3466018-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,3466018,McCormick-X8631.html","McCormick X8.631 VT Drive
6 cylinder engine
313 hp
continuously variable transmission, 50 km/h
hon
CCLS Load Sensing hydraulic system 216 l/min + 115 l/min
6 rear control units + 3 front control units
swiveling super deluxe driver's seat with dynamic air suspension, air conditioning;
Multifunction armrest operation with Easy Pilot joystick
20 LED work lights
climate control
Front tires: 650/65R34
Rear tires: 710/75R42
Custom paint McCormick Metallic Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X8.631,,,,,2023,,,,,,313 hp / 231 kW,,,,
McCormick X5.085,EUR 69.990,,"58.815,13 excl. VAT 19%",,,,,,https://static.landwirt.com/7715-9b70bf7c70979885420423261f2f938b-3439328-0.jpg,"Drive: All-wheel drive, Front loader console, Front loader, 40 km/h, Creep speed, Air-suspended seat, Platform: Cabin, PTO shaft speed (rpm): 540/540E, ...","https://www.landwirt.com/en/used-farm-machinery,3439328,McCormick-X5085.html","Mc Cormick X5.085 Kompakttraktor
- **made in EUROPA** (Traktorenwerk in Italien)
- FPT Motor 4Zylinder 3.400cm³ 55kW/75PS
- Auspuff am Kabineneck nach oben
- Allradvorderachse Hydralock mit Vierradbremssystem
- elektrohydraulische Allradzuschaltung
- 48/16Gang Getriebe mit 3-fach Powershift und Kriechgang 40km/h
- elektrohydraulisch schaltbare Heckdifferenzialsperre
- elektrohydraulische Wendeschaltung
- Zapfwelle 540/750 U/min elektrohydraulisch zuschaltbar
- externe Zapfwellenschaltung am Kotflügel links und rechts
- 3 Hecksteuergeräte ew/dw (1 hydr. Motor mit Mengenregelung, 1 Schwimmstellung, 1Std.)
- mechanische Hubwerksregelung
- Hubstrebe rechts hydraulisch
- 2 Zusatzhubzylinder
- hydraulischer Oberlenker
- Anhängekupplung höhenverstellbar
- Kabine mit KLIMAANLAGE
- Fahrersitz luftgefedert
- Beifahrersitz
- Radiovorbereitung
- ausstellbare Frontscheibe
- ausstellbare Dachscheibe mit Sonnenblende
- 8 LED ARBEITSSCHEINWERFER
- Bereifung 340/85R24 - 420/85R34
McCormick Frontlader M15I
- Einhebelsteuergerät 2x dw
- Parallelführung
- mech. Schwingungstilgung
- 3. Steuerkreis
- Schnellkupplung Multikuppler
- Frontschutz


Wir freuen uns auf Ihre Anfrage. Gerne unterbreiten wir Ihnen ein Angebot per Mail!
Preis ab Lager 94547 Iggensbach, inkl. Mehrwertsteuer. Lieferung EU-Weit gegen Aufpreis möglich.

Bei uns finden Sie Kleingeräte für Forst- und Garten, Anbaugeräte für die Landwirtschaft, Forstmaschinen, Schlepper oder Spezialtechnik nach Ihren Wünschen. Wir bieten Ihnen auch zuverlässigen Service für Ihre Geräte und beliefern Sie mit Original-Ersatzteilen und Zubehör. Seit 1950 sehen wir uns als Partner, als Dienstleister und als Berater unserer Kunden. Qualitativ hohe Produkte, Engagement, Innovation und nachhaltige Entwicklung bestimmen unser Unternehmen. Der persönliche Kontakt zu unseren Kunden liegt uns besonders am Herzen. Kundenwünsche verstehen, mitdenken und Ideen umsetzen - so hielt es unser Firmengründer Peter Oswald sen. vor über 75 Jahren, und nach se",,,,,,Yes,,Yes,,,Yes,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,100,,X5.085,420/85R34,3,340/85R24,100,,,,3,,,,,,,,
Mc Cormick X 5 - 120,,,, 120 hp/89 kW,2022,1,Macchine Agricole Stefani Luciano,36030 Motta di Costabissara,https://static.landwirt.com/8821-a248ee993040c9f44517eee6f6d06107-3405150-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,3405150,Mc-Cormick-X-5---120.html","MOTORE FPT F36 stageV 4 cil 3600 cc 114 hp
TRASMISSIONE 36 + 12 con HML powershift a 3 stadi 40 km/h	
INVERSORE IDRAULICO CON MODULAZIONE DELL’INNESTO RPS
ASSALE ANTERIORE SOSPESO CON FRENI HYDRALOCK  -PARK LOCK
POMPA TRIPLA (litri 82+32)
GANCI RAPIDI,  TERZO PUNTO IDRAULICO, ASTA DESTRA IDRAULICA
SOLLEVATORE ELETTRONICO CON 2 CILINDRI SUPPLEMENTARI Ø50MM
PDF  SINCR - /E A COMANDO ELETTROIDRAULICO
3  DISTRIBUTORI IDRAULICI POSTERIORI  (1 mot idraulico con D/F + 1 flott. + 1 std  ) DEVIATORE DI FLUSSO
FRENATURA IDRAULICA  RIMORCHIO CON GANCI  C E D2
VERNICE MCCORMICK METALLIC RED - 8 FARI LED
AUTORADIO –SEDILE ISTRUTTORE – CABINA SOSPESA mecc. -SPECCHIETTI TELESCOPICI
GOMMATURA MAGGIORATA 440/65 R24 - 540/65 R34 A CERCHI REGOLABILI NERI 
PESO NUDO SENZA ACCESSORI 	 4100 KG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 hp / 89 kW,,,1 h,,,,,,X 5 - 120,,,,,2022,
McCormick X6.414 P6-Drive,,,, 146 hp/108 kW,2023,3,Argo GmbH,4490 Oberweidelham,https://static.landwirt.com/8263-dcca630f9b7273228b2cb3fc40a1dfb4-3408371-1.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000/1000E, ...","https://www.landwirt.com/en/used-farm-machinery,3408371,McCormick-X6414-P6-Drive.html","Exhibition tractor with top equipment!
McCormick X 6.414 P6 drive with front loader
Hydraulic top link
Variable displacement hydraulic pump Load Sensing
4x DW control valves in the rear
2x DW control valves in the front
3.u. 4. Function
front linkage
Front PTO 1,000 rpm
Suspended front axle
Suspended cab
LED work lights
battery disconnect switch
automatic trailer hitch D38
Air brake system 2- wire
Passenger seat with seat belt
ISOBUS preparation
GPS Topcon
50km/h
air conditioning

We would be happy to advise you : [phone number removed]",,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,0,,2023,Very good (condition state 1),,,5,,146 hp / 108 kW,6,4,3 h,100,6,540/60R 28,100,,X6.414 P6-Drive,650/60R 38,5
"McCormick McCormick traktorok 45-310 LE-ig,  Kc-Békés Kft",,,, 45 hp/34 kW,2020,5,,,https://static.landwirt.com/4981-cd73f1f7997f9f3816fbe5d938f2eadf-3310196-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,3310196,McCormick-McCormick-traktorok-45-310-LE-ig-Kc-Bekes-Kft.html","McCormick traktorok 45-310 LE-ig,  Kc-Békés Kft

A KC-BÉKÉS KFT. új és használt mezőgazdasági gépek, alkatrészek és traktorok értékesítésével, országos szállítással, rövid határidőn belül, szerviz, hitel, lízing, pályázati lehetőséggel áll az Önök rendelkezésére.

**Az ÚJ HIGH-TECH YANMAR TNV MOTORSZÉRIA**

A Yanmar TNV négyhengeres motorok új generációja nagy teljesítményt, takarékosabb üzemanyagfelhasználást, alacsony zajszintet, magasabb nyomatékot és kisebb károsanyag-kibocsátást kínál. Figyelemre méltó a négyhengeres, 16 szelepes turbómotor kiemelkedő teljesítménye. A motorborítás oldalpaneljeit le lehet venni, így biztosítva a könnyű hozzáférést a motorhoz a rutin szerviz és karbantartás alkalmával.

**ERŐÁTVITEL SZINKRONIZÁLT IRÁNYVÁLTÓVAL**

Az alapsebességváltóba (12 előre + 12 hátra) be van építve egy mászófokozat, amely 32 sebességfokozatot tesz lehetővé. A teljesen szinkronizált irányváltó az összes alapfokozat hátramenetbe kapcsolására ad lehetőséget, így elérhető 16 előre- és 16 hátrameneti sebesség. A vezérlők előre néző helyzetben a hajtott kerék fölött találhatók a legutolsó tervezési irányzatoknak megfelelően.

**Függesztett vezetőállás a GE verziónál, fülke a Standard változatnál**

A függesztett platformra szerelt vezetőülés ergonomikusan elrendezett kezelőelemeket nyújt a könnyű működtetés érdekében. Az új négyoszlopos fülke jobb kilátást és manőverezhetőséget biztosít. Az új fülkét korszerűbb külsővel tervezték, amely hatékonyabb túlnyomásrendszerrel, alacsony zajszinttel és új, nagy teljesítményű légkondicionálóval kényelmes munkakörülményeket szolgáltat a kezelő részére.

**MECHANIKUS EMELŐSZERKEZET ÉS KIEGÉSZÍTŐ SZELEPEK, IDEÁLIS EBBEN A TELJESÍTMÉNYTARTOMÁNYBAN**

A hidraulikarendszer maximális kapacitása 47,7 liter/perc (12,5 GPM). Az 1. kategóriás hárompontos kapcsolószerkezettel ellátott mechanikus emelőszerkezet 1200 kg-ot (2640 lb) tud emelni. A rendszer három egyszeres és kettős működésű kiegészítő szelepet tartalmaz. A kezelőelemek kényelmes és ergonomikus helyzetben találhatók a kezelő jobb oldalán, ujjheggyel működtethetők.

 - 

Bármely további kérdés esetén hívja kollégánkat: Kukla László: 303529994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 h,,,,,,"McCormick traktorok 45-310 LE-ig,  Kc-Békés Kft",,,,,2020,,,,,,45 hp / 34 kW,
McCormick McCormick X7.621 P6-Drive / VT-Drive Kc-Békés Kf,,,, 1 hp/1 kW,2020,5,,,https://static.landwirt.com/4981-33f9af5e30825c51bf73ed04bae74bc9-3310190-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,3310190,McCormick-McCormick-X7621-P6-Drive--VT-Drive-Kc-Bekes-Kf.html","McCormick X7.621 P6-Drive / VT-Drive Kc-Békés Kft

Motor típusa: T4 final BETAPOWER  
Fordulatszám: 2200  
ABDULE tartály mérete: 52  
Üzemanyagtartály mérete: 280 l  
Kormányzási szög: 55 fok  
Hidraulika puma: L/MIN 88  
Hátsó függesztő előkarok: 3  
Max. emelhető terhelhetőség: 6300 kg  
Önsúly: 6400 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McCormick X7.621 P6-Drive / VT-Drive Kc-Békés Kf,,,,,,2020,,,,,1 hp / 1 kW,,,,,,5 h,,
McCormick McCormick X8 VT-Drive Kc-Békés Kft,,,, 1 hp/1 kW,2020,5,,,https://static.landwirt.com/4981-1877d7cad62faeaf801c7063559067d5-3310182-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,3310182,McCormick-McCormick-X8-VT-Drive-Kc-Bekes-Kft.html","McCormick X8 VT-Drive Kc-Békés Kft

Motor típusa: T4 final BETAPOWER  
Fordulatszám: 2100  
ABDULE tartály mérete: 70  
Üzemanyagtartály mérete: 550 l  
Kormányzási szög: 55 fok  
Hidraulika puma: L/MIN 115  
Hátsó függesztő előkarok: 3  
Max. emelhető terhelhetőség: 12000 kg  
Önsúly: 10800 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 h,,,,,,McCormick X8 VT-Drive Kc-Békés Kft,,,,,2020,,,,,,1 hp / 1 kW
McCormick McCormick X5.085 Tier4 Interim Kc-Békés Kft,,,, 1 hp/1 kW,2022,5,,,https://static.landwirt.com/4981-0e7c2b576925329949c445f1d379fa11-3310163-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,3310163,McCormick-McCormick-X5085-Tier4-Interim-Kc-Bekes-Kft.html","McCormick X5.085 Tier4 Interim Kc-Békés Kft

A Kc-Békés  új és használt mezőgazdasági gépek,alkatrészek és traktorok értékesítése országos szállítással rövid határidőn belül, szerviz , hitel,lízing pályázati lehetősséggel áll az Önök rendelkezésére .
Motor típusa T4 final DEUTZ
Fordulatszám 2200
Üzemanyag tartály mérete 120l
Kormányzási szög 55fok
Hidraulika puma L/min 62
Hátsó függesztő előkarok 2
Max. emelő terhelhetőség 4500kg
Önsúly 3800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 h,,,,,,McCormick X5.085 Tier4 Interim Kc-Békés Kft,,,,,2022,,,,,,1 hp / 1 kW,,
McCormick X5.100,EUR 65.450,,55.000 excl. VAT 19%, 95 hp/70 kW,2022,95,,,https://static.landwirt.com/6195-60f299d0962143f25fc73a4056e1b1b3-3308433-0.jpg,"Drive: All-wheel drive, 40 km/h, PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/1000, Turbocharger with intercooler, emission stage: Tier5, bolt size hitch (mm): 38mm, ...","https://www.landwirt.com/en/used-farm-machinery,3308433,McCormick-X5100.html","McCormick Schlepper - Vorführmaschine, 
Typ: X5.100, 
FPT Motor, 4 Zylinder, Hubraum 3.600 cm³, 
Abgasstufe 5, DOC, DPF, SCR, 
Höchstgeschwindigkeit 40 km/h, 
Druckluftanlage - 2 Leiter, 
Getriebe: 24 / 24-Gang,  
Hydraulische Wendeschaltung, 
Zapfwelle 540/1000 U/min, 
Hydrauliksystem 62 + 32 l/min, 
3 ew / dw Steuergeräte (1 Schwimmstellung mit Mengenteiler, 1 Schwimmstellung, 1 Kickout), 
2 Zwischenachssteuergeräte ew / dw Standard mit Kreuzsteuerhebel, 
Vierpfosten-FOPS-Kabine, 
Luftsitz, 
Radiosystem, 
Klimaanlage, 
Ausstellbare Dachscheibe mit Sonnenblende, 
Beifahrersitz, 
Autom. Anhängerkupplung, 
Sofort Verfügbar, 
Lieferung gegen Kostenübernahme möglich!!",,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,,480/70R34,3,380/70R24,100,,X5.100,Very good (condition state 1),,0,,2022,2,,,,,95 hp / 70 kW,100,2,95 h
McCormick X4.070,EUR 45.815,,38.500 excl. VAT 19%, 68 hp/50 kW,2022,20,,,https://static.landwirt.com/6195-9e729b0206ec5508504e68c34ae77e4c-3308431-0.jpg,"Drive: All-wheel drive, 40 km/h, PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E, Turbocharger with intercooler, emission stage: Tier5, bolt size hitch (mm): 32mm, ...","https://www.landwirt.com/en/used-farm-machinery,3308431,McCormick-X4070.html","McCormick Schlepper Vorführschlepper. 
Typ: X4.070. 
Kohler 4-Zylinder Motor, Abgasstufe 5, 
Ohne Adblue!!, 
Leistung: 68PS. 
Getriebe: 24/24 Gang. 
Mechanische Wendeschaltung. 
Mechanische Untersetzer. 
Luftsitz Grammer,  
Drehpunkt Kat.2 / Oberlenker Kat.2 mit Schnellkuppler. 
MHR Hubwerksregelung. 
3-Zusatzsteuergeräte hinten DW/EW. 
2- Zusatzsteuergeräte mitte über Kreuzhebel. 
Automatische Anhängerkupplung, schnellhöhenverstellbar. 
Sofort Verfügbar!! 
Versand gegen Kostenübernahme möglich!!",Yes,,Yes,Yes,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,0,,2022,,,,,,68 hp / 50 kW,2,4,20 h,100,2,320/70R24,100,,X4.070,480/70R30,3
McCormick XTX185,EUR 47.900,,"42.389,38 excl. VAT/ mediation", 179 hp/132 kW,2006,3700,,,https://static.landwirt.com/4839-04dcc1e96d8ba7bfc368fbacdd4b7d3e-2777643-0.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540E/1000, Turbocharger with intercooler, ...","https://www.landwirt.com/en/used-farm-machinery,2777643,McCormick-XTX185.html","Zustand 1; Xtra Shift E Ausführung; Rahmenbauweise! Original dunkelrot!

Angaben ohne Gewähr! Kein Wartungsstau!",,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,,,,Yes,Yes,,,,4,3700 h,30,4,540/65R30,40,,XTX185,650/65/R42,0,2,,2006,Very good (condition state 1),6,,,7500,179 hp / 132 kW,8
